               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.077081,            0.014363,           0.0074787,              0.3969,                 0.5,             0.37963,             0.16412,            0.080428,           0.0085767,           0.0060337,           0.0072667,           0.0072667,            0.019267
                  89,            0.078555,            0.016718,           0.0073081,              0.3969,                 0.5,             0.37963,             0.16412,            0.080428,           0.0085767,           0.0060337,           0.0073316,           0.0073316,            0.018332
                  90,            0.074952,            0.016127,           0.0069903,              0.3969,                 0.5,             0.37963,             0.16412,            0.080428,           0.0085767,           0.0060337,           0.0073962,           0.0073962,            0.017396
                  91,            0.079134,            0.014851,           0.0072499,             0.35568,             0.54545,             0.32759,             0.10162,             0.07928,           0.0085478,           0.0053571,           0.0074604,           0.0074604,             0.01646
                  92,            0.075599,             0.01285,           0.0067125,             0.35568,             0.54545,             0.32759,             0.10162,             0.07928,           0.0085478,           0.0053571,           0.0075241,           0.0075241,            0.015524
                  93,            0.076218,            0.014392,           0.0069924,             0.35568,             0.54545,             0.32759,             0.10162,             0.07928,           0.0085478,           0.0053571,           0.0075875,           0.0075875,            0.014587
                  94,            0.078105,            0.015055,           0.0065929,             0.35568,             0.54545,             0.32759,             0.10162,             0.07928,           0.0085478,           0.0053571,           0.0076505,           0.0076505,             0.01365
                  95,            0.074204,            0.016426,           0.0068596,             0.55565,             0.40909,             0.50934,             0.19159,            0.084886,           0.0075859,           0.0048024,           0.0077131,           0.0077131,            0.012713
                  96,            0.072712,            0.016441,            0.006353,             0.55565,             0.40909,             0.50934,             0.19159,            0.084886,           0.0075859,           0.0048024,           0.0077752,           0.0077752,            0.011775
                  97,             0.07555,            0.013872,           0.0059772,             0.55565,             0.40909,             0.50934,             0.19159,            0.084886,           0.0075859,           0.0048024,            0.007837,            0.007837,            0.010837
                  98,            0.073939,            0.015909,           0.0060539,             0.55565,             0.40909,             0.50934,             0.19159,            0.084886,           0.0075859,           0.0048024,           0.0078984,           0.0078984,           0.0098984
